new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC
Galaxea_fascicularis_REEFv1___m1.1034.m1	3	2	adult_neuron_7	adult_neuron	6.23724592770652
Galaxea_fascicularis_REEFv1___m1.8593.m1	1	1	adult_germline_sperm	adult_germline	2.14776476316403
Galaxea_fascicularis_REEFv1___m1.20099.m1	3	3	adult_immune_1	adult_immune	4.40629519705486
Galaxea_fascicularis_REEFv1___m1.20099.m1	3	3	adult_gastrodermis	adult_gastrodermis	2.14446865917432
Galaxea_fascicularis_REEFv1___m1.20099.m1	3	3	adult_alga-hosting_cells	adult_alga-hosting	4.90299356626736
Galaxea_fascicularis_REEFv1___m1.23424.m1	1	1	adult_neuron_6	adult_neuron	2.03496303309136
Galaxea_fascicularis_REEFv1___m1.1835.m1	1	1	adult_neuron_4	adult_neuron	2.22325537664032
Galaxea_fascicularis_REEFv1___m1.13243.m1	1	1	adult_neuron_10	adult_neuron	2.40385461595714
Galaxea_fascicularis_REEFv1___m1.13247.m1	1	1	adult_neuron_13	adult_neuron	3.12411695253277
Galaxea_fascicularis_REEFv1___m1.5062.m1	1	1	adult_neuron_13	adult_neuron	2.40510736593526
Galaxea_fascicularis_REEFv1___m1.23269.m1	2	1	adult_neuron_10	adult_neuron	2.52345470828759
Galaxea_fascicularis_REEFv1___m1.23269.m1	2	1	adult_neuron_4	adult_neuron	2.02917300378811
Galaxea_fascicularis_REEFv1___m1.23265.m1	1	1	adult_germline_sperm	adult_germline	2.04540403107712
Galaxea_fascicularis_REEFv1___m1.17625.m1	1	1	adult_neuron_2	adult_neuron	2.17689700473474
Galaxea_fascicularis_REEFv1___m1.17271.m1	1	1	adult_neuron_13	adult_neuron	2.19085559698439
Galaxea_fascicularis_REEFv1___m1.17629.m1	2	2	adult_immune_1	adult_immune	2.06955701696445
Galaxea_fascicularis_REEFv1___m1.17629.m1	2	2	adult_germline_sperm	adult_germline	2.67639456455117
Galaxea_fascicularis_REEFv1___m1.3991.m1	1	1	adult_mitotic_host_cells	adult_mitotic	2.1274342532022
Galaxea_fascicularis_REEFv1___m1.9891.m1	3	2	adult_gland_5	adult_gland	2.23036237913575
Galaxea_fascicularis_REEFv1___m1.9891.m1	3	2	adult_neuron_6	adult_neuron	3.15282031157314
Galaxea_fascicularis_REEFv1___m1.9891.m1	3	2	adult_neuron_8	adult_neuron	2.16575922814202
Galaxea_fascicularis_REEFv1___m1.8236.m1	2	2	adult_gastrodermis_musclelike	adult_gastrodermis	3.85438308427312
Galaxea_fascicularis_REEFv1___m1.8236.m1	2	2	adult_cnidocyte	adult_cnidocyte	2.13762731678345
Galaxea_fascicularis_REEFv1___m1.15757.m1	1	1	adult_germline_sperm	adult_germline	3.05140485806252
Galaxea_fascicularis_REEFv1___m1.13889.m1	1	1	adult_neuron_10	adult_neuron	2.00196338321367
Galaxea_fascicularis_REEFv1___m1.14541.m1	1	1	adult_germline_sperm	adult_germline	2.38358115083739
Galaxea_fascicularis_REEFv1___m1.4842.m1	2	2	adult_gland_10	adult_gland	7.30007930546062
