new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC	mid_range_cell_type_count	mid_range_broad_type_count
Galaxea_fascicularis_REEFv1___m1.15062.m1	1	1	adult_germline_sperm	adult_germline	2.97612337844539	0	0
Galaxea_fascicularis_REEFv1___m1.8898.m1	1	1	adult_germline_sperm	adult_germline	3.84849393951975	0	0
Galaxea_fascicularis_REEFv1___m1.10818.m1	1	1	adult_neuron_5	adult_neuron	3.14949493842684	0	0
Galaxea_fascicularis_REEFv1___m1.18195.m1	1	1	adult_gland_5	adult_gland	3.73430259043385	0	0
Galaxea_fascicularis_REEFv1___m1.3017.m1	1	1	adult_germline_sperm	adult_germline	3.34077017646656	0	0
Galaxea_fascicularis_REEFv1___m1.3818.m1	1	1	adult_neuron_13	adult_neuron	3.10073387337343	0	0
Galaxea_fascicularis_REEFv1___m1.14562.m1	1	1	adult_cnidocyte	adult_cnidocyte	13.0160554146165	0	0
Galaxea_fascicularis_REEFv1___m1.5804.m1	1	1	adult_germline_sperm	adult_germline	7.71273927487652	0	0
Galaxea_fascicularis_REEFv1___m1.23653.m1	1	1	adult_neuron_13	adult_neuron	2.83236496200889	0	0
Galaxea_fascicularis_REEFv1___m1.14684.m1	1	1	adult_neuron_10	adult_neuron	3.13788474731002	0	0
Galaxea_fascicularis_REEFv1___m1.5645.m1	1	1	adult_neuron_13	adult_neuron	2.77009373580288	0	0
Galaxea_fascicularis_REEFv1___m1.18359.m1	1	1	adult_neuron_10	adult_neuron	2.62827475728956	0	0
Galaxea_fascicularis_REEFv1___m1.7448.m1	1	1	adult_neuron_13	adult_neuron	2.63149429560606	0	0
Galaxea_fascicularis_REEFv1___m1.411.m1	1	1	adult_germline_sperm	adult_germline	5.34873405935954	0	0
Galaxea_fascicularis_REEFv1___m1.21701.m1	1	1	adult_neuron_12	adult_neuron	6.40007838996594	0	0
Galaxea_fascicularis_REEFv1___m1.5528.m1	1	1	adult_gland_4	adult_gland	4.12079666711547	0	0
Galaxea_fascicularis_REEFv1___m1.11678.m1	1	1	adult_neuron_13	adult_neuron	3.30062942690817	0	0
Galaxea_fascicularis_REEFv1___m1.6667.m1	1	1	adult_neuron_10	adult_neuron	2.83160031426659	0	0
Galaxea_fascicularis_REEFv1___m1.19650.m1	1	1	adult_cnidocyte	adult_cnidocyte	3.10425748025468	0	0
Galaxea_fascicularis_REEFv1___m1.7286.m1	1	1	adult_germline_sperm	adult_germline	4.61744938908131	0	0
Galaxea_fascicularis_REEFv1___m1.15106.m1	1	1	adult_germline_sperm	adult_germline	2.50794821185062	0	0
Galaxea_fascicularis_REEFv1___m1.10500.m1	1	1	adult_germline_sperm	adult_germline	4.29437060199538	0	0
Galaxea_fascicularis_REEFv1___m1.14532.m1	1	1	adult_immune_1	adult_immune	3.17701347691772	0	0
Galaxea_fascicularis_REEFv1___m1.18910.m1	1	1	adult_germline_sperm	adult_germline	4.39461707273281	0	0
Galaxea_fascicularis_REEFv1___m1.10349.m1	1	1	adult_neuron_13	adult_neuron	2.58289919423376	0	0
Galaxea_fascicularis_REEFv1___m1.18751.m1	1	1	adult_germline_sperm	adult_germline	2.82472380471969	0	0
Galaxea_fascicularis_REEFv1___m1.1944.m1	1	1	adult_unknown	adult_unknown	3.08715939344336	0	0
Galaxea_fascicularis_REEFv1___m1.17380.m1	1	1	adult_germline_sperm	adult_germline	3.05140485806252	0	0
Galaxea_fascicularis_REEFv1___m1.3101.m1	1	1	adult_cnidocyte	adult_cnidocyte	4.70171171965157	0	0
Galaxea_fascicularis_REEFv1___m1.1785.m1	1	1	adult_germline_sperm	adult_germline	16.7746684370143	0	0
Galaxea_fascicularis_REEFv1___m1.15505.m1	1	1	adult_germline_sperm	adult_germline	5.32567534314776	0	0
Galaxea_fascicularis_REEFv1___m1.17820.m1	1	1	adult_germline_sperm	adult_germline	2.5215899505837	0	0
Galaxea_fascicularis_REEFv1___m1.18999.m1	1	1	adult_cnidocyte	adult_cnidocyte	3.11172093683352	0	0
Galaxea_fascicularis_REEFv1___m1.417.m1	1	1	adult_germline_sperm	adult_germline	3.77615683185358	0	0
Galaxea_fascicularis_REEFv1___m1.18114.m1	1	1	adult_germline_sperm	adult_germline	5.09222180947552	0	0
Galaxea_fascicularis_REEFv1___m1.7650.m1	1	1	adult_gland_9	adult_gland	2.51328723524692	0	0
